"","GENE_SYMBOL","GSM1443061","GSM1443062","GSM1443063","GSM1443064","GSM1443065","GSM1443066","Tetanis_Means"
"EAF2","EAF2",43069920,78652480,53388599,69477914,617578070,118277551,163407422.333333
"TNFRSF11A","TNFRSF11A",0.52,0.07,0.06,0.07,0.07,0.12,0.151666666666667
"SMCR8","SMCR8",0.87,0.78,0.62,2303919,0.66,0.11,383987.006666667
"GNG8","GNG8",7369567,10011616,22723002,40622992,15676555,1054018,16242958.3333333
"SLC25A11","SLC25A11",12169068,1980838,2158926,1575274,4955167,1858658,4116321.83333333
"ZBTB17","ZBTB17",6010039,6287098,22655444,16768913,144357661,10895008,34495693.8333333
"RSPH1","RSPH1",0.14,0.07,0.06,0.07,0.1,0.11,0.0916666666666667
"SP110","SP110",14548180,48187312,34225468,0.19,27542273,44375714,28146491.1983333
"CCDC61","CCDC61",7751841,6182753,4485967,9873197,91360208,1019043,20112168.1666667
"OR3A1","OR3A1",0.13,0.11,0.15,0.29,0.38,0.11,0.195
"ASB12","ASB12",2499580,2993309,4426195,2340292,2559341,1659961,2746446.33333333
"TXNIP","TXNIP",12570318,16807268,1292740,14074892,49860316,18348514,18825674.6666667
"RP4-662A9.2","RP4-662A9.2",0.03,0.04,0.06,0.07,0.07,0.11,0.0633333333333333
"FLJ34515","FLJ34515",0.07,0.04,0.06,0.07,0.07,0.11,0.07
"IFT88","IFT88",0.05,0.04,28853622,1611241,20208941,0.11,8445634.03333333
"ADAD1","ADAD1",0.07,0.1,0.05,0.14,0.07,0.11,0.09
"VARS","VARS",52181135,102337170,54253513,519868079,134373372,12634555,145941304
"ZNF221","ZNF221",2274943,8892202,3061821,19242511,1808000,3170201,6408279.66666667
"C1orf97","C1orf97",6795843,6347793,4181518,6186221,9148220,0.52,5443265.92
"MTRR","MTRR",5488455,6481803,2551704,0.73,18986806,10645098,7358977.78833333
"LOC92270","LOC92270",0.28,0.17,0.06,0.09,0.25,0.65,0.25
"MT1JP","MT1JP",0.15,0.17,0.11,0.08,1708008,0.11,284668.103333333
"KRT18P19","KRT18P19",1747633,2654253,2456576,0.85,1733257,3767711,2059905.14166667
"FCGR3B","FCGR3B",2846138,0.84,1223433,0.93,0.89,0.12,678262.296666667
"CCDC5","CCDC5",1451240,6345795,0.53,1689197,2323412,28315198,6687473.755
"LOC644096","LOC644096",4499646,2739304,3769708,2614163,2099084,1565937,2881307
"LOC100192379","LOC100192379",0.43,1903658,10481728,3606886,1217545,0.25,2868302.94666667
"MAPK13","MAPK13",45091711,51264392,66536485,120734223,34225770,5369432,53870335.5
"MGC4859","MGC4859",0.03,0.14,0.05,0.09,0.13,0.13,0.095
"LOC390414","LOC390414",92607851,95816808,158319333,231828313,296394830,63699013,156444358
"RGS7BP","RGS7BP",3426239,0.04,0.07,0.11,0.12,0.11,571039.908333333
"ARRDC5","ARRDC5",9424220,6163882,0.11,0.12,0.11,8042035,3938356.22333333
"LOC100132317","LOC100132317",1886738,0.69,0.19,0.3,0.23,0.11,314456.586666667
"RASGEF1C","RASGEF1C",15610152,17547241,24339546,13640427,12625828,4361640,14687472.3333333
"CALML6","CALML6",3568733,5749660,5657759,8668220,16913139,2411237,7161458
"LOC284242","LOC284242",16889248,2093535,1494262,1948391,29368831,1463593,8876310
"EI24","EI24",1549323,0.24,0.15,6252381,0.11,20621594,4737216.41666667
"NXN","NXN",0.07,0.09,0.09,0.07,0.2,0.11,0.105
"RNF111","RNF111",0.03,0.04,0.06,0.07,0.08,1653286,275547.713333333
"CST9","CST9",0.32,0.18,0.26,0.4,0.26,0.39,0.301666666666667
"LOC100133121","LOC100133121",5744584,1664163,3705676,9172823,0.24,0.26,3381207.75
"IFNA16","IFNA16",0.03,0.04,0.05,0.07,0.07,0.11,0.0616666666666667
"H1FNT","H1FNT",5918488,9019202,9877642,9201796,12882065,1721582,8103462.5
"LOC392335","LOC392335",1288742,0.99,1853486,1474386,2049957,0.11,1111095.35
"CCNC","CCNC",0.03,0.42,0.05,139047197,10285762,39055212,31398028.5833333
"DCDC1","DCDC1",0.5,0.04,0.05,1351136,0.07,0.11,225189.461666667
"FCHSD1","FCHSD1",4397661,3307084,2522067,8330385,13588085,1339472,5580792.33333333
"SLAMF1","SLAMF1",1493493,1999389,2776446,36760204,8916520,1823242,8961549
"KCNK5","KCNK5",1840559,3575598,2459951,3121105,2853744,1245602,2516093.16666667
"LOC643205","LOC643205",8246032,12209373,8978753,40596239,30582770,2241957,17142520.6666667
"TMED7","TMED7",0.03,0.04,0.05,0.08,0.08,8908785,1484797.54666667
"UTS2R","UTS2R",23230798,36520888,22674312,18321219,20193162,1979987,20486727.6666667
"MEF2C","MEF2C",7232509,16060983,29205242,101603957,1795108,58783884,35780280.5
"UNC13B","UNC13B",23403589,17044449,23818135,208156370,25330680,1965109,49953055.3333333
"UBA2","UBA2",7649553,3930971,0.1,0.3,30801759,22183549,10760972.0666667
"PRPF31","PRPF31",54585154,56194937,87063679,52181729,96997526,7974478,59166250.5
"PFKFB1","PFKFB1",0.38,0.33,0.36,0.94,0.25,0.13,0.398333333333333
"C16orf82","C16orf82",1734130,1130605,0.91,2007329,0.7,0.83,812011.073333333
"KRTAP9-3","KRTAP9-3",0.05,0.04,0.06,0.07,0.07,0.11,0.0666666666666667
"RAG2","RAG2",0.12,0.21,0.12,0.11,0.26,0.11,0.155
"MYLK3","MYLK3",0.03,0.04,0.06,0.07,0.07,0.11,0.0633333333333333
"BFSP1","BFSP1",0.18,0.07,0.12,0.49,0.07,0.11,0.173333333333333
"C1QC","C1QC",4071918,7237742,7519521,5654219,7144938,0.5,5271389.75
"SELE","SELE",0.43,0.45,0.34,0.67,0.42,0.44,0.458333333333333
"PXT1","PXT1",0.03,0.04,0.06,0.07,0.07,0.11,0.0633333333333333
"FAAH","FAAH",0.47,0.44,26812458,0.86,6980403,0.22,5632143.83166667
"OR2H2","OR2H2",2997445,3332104,6068981,10361094,6268555,0.77,4838029.96166667
"CDC2L2","CDC2L2",7842409,23435174,0.54,1479299,2328445,6983692,7011503.25666667
"PRMT8","PRMT8",9907146,0.25,0.51,0.11,0.31,0.18,1651191.22666667
"RFTN2","RFTN2",0.05,0.07,0.05,0.08,0.07,0.11,0.0716666666666667
"BUD13","BUD13",2595610,1973781,1081486,3028764,1025299,8632023,3056160.5
"ZNF599","ZNF599",0.03,0.04,0.05,0.08,0.08,5679668,946611.38
"RAB23","RAB23",2578054,4701199,4489851,4738771,8898283,0.3,4234359.71666667
"SMOC2","SMOC2",5853560,2839814,4877829,5228685,3909543,1405178,4019101.5
"COX7B","COX7B",33829707,71401688,31121855,119947009,242070794,146120300,107415225.5
"FXYD1","FXYD1",1395229,0.93,1157245,1152923,0.65,0.3,617566.48
"CNGA3","CNGA3",0.03,0.07,0.05,0.08,0.1,0.12,0.075
"ZNF585B","ZNF585B",0.57,1037785,2159202,7126936,1614664,1214958,2192257.595
"PCNP","PCNP",1,4073673,20798544,60857387,51271420,40869358,29645063.8333333
"DDX58","DDX58",0.32,0.16,0.13,0.15,0.24,0.22,0.203333333333333
"NANOGP1","NANOGP1",0.95,0.2,0.28,0.76,0.13,0.11,0.405
"XPA","XPA",7603953,4644445,5103192,12174876,4741566,11700628,7661443.33333333
"LOC100131756","LOC100131756",0.03,0.04,0.06,0.07,0.07,0.11,0.0633333333333333
"LOC100130176","LOC100130176",0.13,0.05,0.22,0.07,0.07,2650758,441793.09
"RHEBL1","RHEBL1",1141379,0.53,100578060,0.43,0.48,22507669,20704518.24
"HOXA1","HOXA1",0.3,0.33,0.5,0.17,0.27,0.4,0.328333333333333
"HIST1H1B","HIST1H1B",2164038,17225727,5763930,7033692,5559608,0.91,6291165.985
"NME1","NME1",36745945,138213609,141060302,282651129,424842681,347463367,228496172.166667
"P2RY4","P2RY4",2356038,1956146,1478178,2220126,4137310,1038578,2197729.33333333
"TTBK1","TTBK1",11180879,27674722,26571731,18028493,36895330,6301455,21108768.3333333
"STARD8","STARD8",2404699,1664698,2428357,3134847,3425008,1277123,2389122
"LRCH1","LRCH1",0.03,0.04,0.05,0.08,0.08,2628991,438165.213333333
"TTC29","TTC29",0.33,0.14,0.13,0.38,0.24,0.32,0.256666666666667
"MAGEB3","MAGEB3",0.03,0.04,0.05,0.08,0.09,0.11,0.0666666666666667
"SPTLC2","SPTLC2",0.49,0.72,0.22,0.67,0.16,6144595,1024099.54333333
"DNAJB1","DNAJB1",0.76,0.31,2777210,0.08,0.16,15638577,3069298.05166667
"OR7A5","OR7A5",0.11,0.11,0.1,0.08,0.14,0.13,0.111666666666667
"ALKBH8","ALKBH8",3698857,0.35,0.56,0.84,0.47,1716868,902621.203333333
"DCPS","DCPS",45926390,63329722,92884138,340484610,131855784,35744510,118370859
"IL17A","IL17A",0.55,0.33,0.17,0.38,0.55,0.11,0.348333333333333
"ATN1","ATN1",128898267,138596232,233511833,173338473,192230250,36120529,150449264
"ADA","ADA",7703318,0.3,0.07,0.11,0.18,28322047,6004227.61
"LOC100129449","LOC100129449",0.03,0.04,0.06,0.07,0.07,0.11,0.0633333333333333
"PDGFD","PDGFD",0.04,0.04,0.06,0.07,0.1,0.11,0.07
"LOC147080","LOC147080",0.99,0.05,0.05,0.07,0.64,0.11,0.318333333333333
"PDCD1LG2","PDCD1LG2",0.04,0.06,0.05,0.08,0.09,0.11,0.0716666666666667
"MYO5C","MYO5C",0.03,0.04,0.05,0.08,0.08,0.11,0.065
"MS4A5","MS4A5",0.13,0.17,0.12,0.08,0.08,0.32,0.15
"LOC100132941","LOC100132941",404947019,667169748,1038504184,1956424679,1981827610,540793286,1098277754.33333
"ZIC2","ZIC2",0.03,0.04,0.05,0.08,0.09,0.11,0.0666666666666667
"LOC343052","LOC343052",0.65,1642936,4580431,2209689,0.38,0.43,1405509.57666667
"SPRY1","SPRY1",0.03,0.06,0.05,0.08,0.1,0.12,0.0733333333333333
"CDKL2","CDKL2",0.14,0.58,1456761,0.4,0.1,0.13,242793.725
"TPTE2","TPTE2",0.14,0.15,5381673,0.24,0.1,0.13,896945.626666667
"LOC392787","LOC392787",0.04,0.05,0.1,0.08,0.24,0.14,0.108333333333333
"KRT25","KRT25",8464412,10583858,2136909,2618568,5880644,1278342,5160455.5
"IGFBP2","IGFBP2",1848057,0.58,5243514,0.62,0.69,0.22,1181928.85166667
"CTSH","CTSH",23374863,17669547,56783432,223298294,54441630,38885915,69075613.5
"RAD52","RAD52",4511316,3686942,2884087,45649870,2998348,30950766,15113554.8333333
"GHRH","GHRH",0.78,0.79,1147184,1010667,1968042,0.53,687649.183333333
"REV3L","REV3L",0.34,0.47,23043728,0.6,0.17,15343079,6397801.43
"VPS33A","VPS33A",0.48,0.55,0.41,0.62,0.64,13850641,2308440.61666667
"NIPSNAP3A","NIPSNAP3A",0.03,0.04,0.06,4514693,0.07,0.11,752448.885
"UBE2E2","UBE2E2",0.03,0.04,0.06,0.07,0.07,0.11,0.0633333333333333
"NACAD","NACAD",2946438,4007614,4021742,8600777,6250854,1304826,4522041.83333333
"PRPH2","PRPH2",0.07,0.06,0.05,0.08,0.07,0.18,0.085
"OR4X2","OR4X2",2434964,1131374,5706188,12770415,2730035,1986154,4459855
"MSLN","MSLN",2912542,1160014,1226856,0.98,1395497,0.53,1115818.41833333
"ARGLU1","ARGLU1",10037080,14253601,16255851,3852556,1674711,6129754,8700592.16666667
"DAB2IP","DAB2IP",2461520,8208274,4467466,9435122,3588754,0.62,4693522.77
"CEP72","CEP72",9831328,12675377,2001427,14009262,6010055,0.32,7421241.55333333
"TTC27","TTC27",14293271,1951817,9727169,37720083,0.19,1400653,10848832.1983333
"FBXO32","FBXO32",1055228,5564527,0.96,1695737,1611486,1793613,1953431.99333333
"USP13","USP13",1430393,0.08,0.24,0.11,0.44,22993938,4070721.97833333
"SNTG2","SNTG2",0.06,2090498,0.07,0.78,0.07,0.11,348416.515
"KCNN1","KCNN1",13447277,0.77,0.97,1071077,0.73,0.16,2419726.105
"FBXL19","FBXL19",28972986,12621549,28200716,20840435,8306335,13259048,18700178.1666667
"CEACAM5","CEACAM5",3644633,0.18,0.48,0.52,1284700,0.17,821555.725
"OK/SW-CL.58","OK/SW-CL.58",0.31,0.18,27899904,0.29,0.87,0.11,4649984.29333333
"CD38","CD38",20439497,74514717,52075143,166326811,615361867,107506753,172704131.333333
"UNQ5814","UNQ5814",11045014,0.15,0.52,0.53,0.25,0.11,1840835.92666667
"GAL3ST2","GAL3ST2",1853547,2057325,3878130,1774377,1663397,0.64,1871129.44
"PIGL","PIGL",7331486,0.18,0.11,83165039,0.15,13696203,17365454.74
"CASP12","CASP12",0.34,0.21,0.27,0.11,0.1,0.17,0.2
"C11orf16","C11orf16",3377208,3782915,3836273,2295048,2207530,0.69,2583162.44833333
"C16orf74","C16orf74",2125837,3321231,3722053,7876755,1872313,1151478,3344944.5
"SDR39U1","SDR39U1",5235482,6161312,0.25,1238354,0.55,2479680,2519138.13333333
"OR3A2","OR3A2",4046082,0.11,0.12,0.46,1116640,0.11,860453.8
"FCER2","FCER2",1172488,1428468,21065986,13057465,34764322,2103349,12265346.3333333
"SMPX","SMPX",0.98,0.73,0.87,1906508,2297355,0.52,700644.35
"MAFF","MAFF",10748289,13882696,10688302,24287077,17455515,1054393,13019378.6666667
"GPR109B","GPR109B",5156212,0.31,0.38,0.36,0.74,0.48,859369.045
"IQCF3","IQCF3",5930157,5163054,6533084,7479239,8302084,2117243,5920810.16666667
"BRF2","BRF2",0.03,0.04,0.05,5512518,0.1,0.79,918753.168333333
"AURKAIP1","AURKAIP1",61045400,87361364,148945503,235712457,207066963,44477286,130768162.166667
"CEP135","CEP135",12788716,1243748,0.91,1013734,1438941,0.13,2747523.34
"C7orf43","C7orf43",11871726,19606415,23745209,11222767,9105767,3026357,13096373.5
"SLC28A2","SLC28A2",0.96,2970418,3852629,8865437,3169234,0.3,3142953.21
"METTL4","METTL4",0.1,0.04,0.06,0.07,0.07,3579750,596625.056666667
"CACNG1","CACNG1",0.46,0.33,0.45,1726692,0.5,0.11,287782.308333333
"AKR1C3","AKR1C3",4363692,0.13,0.25,4005192,0.39,0.33,1394814.18333333
"FAAH2","FAAH2",0.63,0.77,0.51,1014389,0.75,0.43,169065.348333333
"RNF170","RNF170",1403116,2193510,2000316,2145778,4841095,0.58,2097302.59666667
"KRTAP7-1","KRTAP7-1",1419628,0.75,0.65,0.84,0.9,0.35,236605.248333333
"TBR1","TBR1",0.03,0.04,0.06,0.07,0.07,0.11,0.0633333333333333
"ARR3","ARR3",1150202,1920792,3149159,1735144,4800880,0.65,2126029.60833333
"RHOT2","RHOT2",28242349,13789297,116376894,173303369,4464053,25590378,60294390
"CACNA2D4","CACNA2D4",0.67,0.94,0.58,0.39,0.41,0.13,0.52
"GZMM","GZMM",8187774,6425207,8143652,9738207,11952464,2067396,7752450
"ISL1","ISL1",0.22,0.04,0.05,0.08,0.16,0.14,0.115
"C10orf141","C10orf141",0.03,0.04,0.05,0.17,0.08,0.11,0.08
"ZNF330","ZNF330",0.43,47088996,0.74,32420977,1552655,25757189,17803303.0283333
"ALG6","ALG6",5472353,1996730,4535525,0.55,1788848,0.56,2298909.51833333
"PTS","PTS",5220978,0.47,22312313,0.08,28689750,1669688,9648788.25833333
"LOC100128008","LOC100128008",0.03,0.04,0.05,0.08,0.09,0.11,0.0666666666666667
"SLC39A5","SLC39A5",3171591,9048641,14413640,15349101,11745080,1569131,9216197.33333333
"RAP1B","RAP1B",0.71,15910574,0.05,51093421,0.13,2691410,11615900.9816667
"KRT36","KRT36",0.21,0.18,0.17,0.36,0.16,0.57,0.275
"HAAO","HAAO",8901627,9602856,7645319,16772497,15454204,3514480,10315163.8333333
"ALG14","ALG14",2300043,30529811,9969342,25250046,36341424,18546971,20489606.1666667
"JCLN","JCLN",0.13,0.08,0.34,0.25,0.46,0.13,0.231666666666667
"MCART2","MCART2",0.57,0.23,0.18,50966694,0.14,0.17,8494449.215
"PIP5K1B","PIP5K1B",0.03,0.04,0.19,0.07,0.1,0.11,0.09
"CNTD1","CNTD1",0.5,0.07,0.06,0.36,0.13,3099586,516597.853333333
"FLJ35409","FLJ35409",0.68,0.04,0.06,0.07,0.07,0.11,0.171666666666667
"DEDD","DEDD",3055929,3468404,4132388,1690613,45753531,9066705,11194595
"DLX6","DLX6",0.53,0.33,5170321,1503870,0.4,0.6,1112365.47666667
"PROP1","PROP1",25092106,18272691,17392072,16926217,23094695,7942741,18120087
"SIGLECP3","SIGLECP3",2261823,0.12,0.62,0.18,0.21,0.17,376970.716666667
"ADAM23","ADAM23",0.4,0.33,0.33,0.07,0.7,0.19,0.336666666666667
"BRDT","BRDT",0.03,0.04,0.06,0.07,0.07,0.11,0.0633333333333333
"FIG4","FIG4",0.03,0.04,0.06,0.07,0.07,1079732,179955.378333333
"KRT82","KRT82",0.95,0.35,0.74,0.64,1069903,0.45,178317.688333333
"SESN3","SESN3",0.63,1101928,0.54,0.28,0.38,0.17,183655
"HRCT1","HRCT1",1149599,0.78,0.89,1193106,1850798,0.67,698917.556666667
"NR1H4","NR1H4",0.84,0.09,0.06,0.16,0.07,0.11,0.221666666666667
"FOXE3","FOXE3",16358624,17778122,25439003,15248892,14162965,3434778,15403730.6666667
"FCRLA","FCRLA",36570897,0.04,0.05,72056007,21158647,0.11,21630925.2
"MOCS3","MOCS3",0.69,0.35,0.29,0.39,0.44,7481489,1246915.19333333
"SHROOM4","SHROOM4",0.32,0.17,0.13,0.18,0.27,0.29,0.226666666666667
"KIF17","KIF17",4648856,4892579,5292570,12070884,6060910,3140203,6017667
"TMEM219","TMEM219",12930620,5980402,7730092,131030891,264968671,23692149,74388804.1666667
"UNQ6484","UNQ6484",0.03,0.04,0.05,0.08,0.1,0.12,0.07
"LOC641467","LOC641467",0.03,0.04,0.06,0.07,0.07,9785429,1630904.87833333
"DKK4","DKK4",1110377,2156682,1063905,2479074,1395414,0.77,1367575.46166667
"CGREF1","CGREF1",1929939,1875164,1248905,8500841,0.38,0.28,2259141.61
"TMEM216","TMEM216",6062607,3176433,2446614,1191225,1579711,0.98,2409431.83
"PPID","PPID",2618662371,3098218105,3989952878,4560627831,4978740858,5175625081,4070304520.66667
"SUSD2","SUSD2",1980030,1425516,1268759,1698437,1028013,0.33,1233459.22166667
"PLCD3","PLCD3",0.5,0.31,0.41,0.47,0.46,0.11,0.376666666666667
"ARMCX1","ARMCX1",0.67,0.63,1190869,1309167,1770818,0.14,711809.24
"FAM89B","FAM89B",6935099,6489477,18524928,36783281,13571123,6305695,14768267.1666667
"C3orf46","C3orf46",0.03,0.04,0.06,0.07,0.07,0.11,0.0633333333333333
"POLB","POLB",0.24,1299883,7261237,0.52,2952727,1757181,2211838.12666667
"FLJ30594","FLJ30594",0.17,0.04,0.14,0.07,0.07,0.11,0.1
"TDRD5","TDRD5",0.12,0.04,0.06,0.15,0.07,0.11,0.0916666666666667
"C8orf45","C8orf45",1018016,0.74,0.55,0.32,0.27,0.11,169669.665
"SYNPO2L","SYNPO2L",3187403,3940526,1875923,3670828,3091914,1149208,2819300.33333333
"ZC3H15","ZC3H15",23514693,36500769,126048316,183675799,160951645,216487804,124529837.666667
"AKAP2","AKAP2",0.05,0.26,7221312,19131525,3271088,11062877,6781133.71833333
"KRT74","KRT74",0.8,0.83,0.81,1794669,1494492,0.56,548194
"RFC4","RFC4",69599705,24150075,85383728,451170494,821092951,379353783,305125122.666667
"TRAF2","TRAF2",10663307,22982037,52299636,11137913,47102567,1151920,24222896.6666667
"TSPAN7","TSPAN7",0.22,0.3,0.3,0.41,0.37,0.11,0.285
"SPAG4","SPAG4",0.56,0.55,5824560,8888612,1153637,0.13,2644468.37333333
"TM4SF19","TM4SF19",0.88,0.05,0.62,0.1,0.1,0.12,0.311666666666667
"PHYH","PHYH",0.24,3314774,1005445,0.89,0.51,0.37,720036.835
"TNFRSF25","TNFRSF25",1108254,1654889,2187442,4431091,0.77,0.34,1563612.85166667
"LOC100144602","LOC100144602",2093590,1779975,3388357,1873259,1134875,0.88,1711676.14666667
"ACVR2A","ACVR2A",0.03,5274854,4444486,0.08,0.1,0.13,1619890.05666667
"PATE1","PATE1",0.26,0.04,0.06,0.07,0.07,0.11,0.101666666666667
"FGL2","FGL2",1403947,11297847,4089718,1603641,4003326,6095699,4749029.66666667
"SUPT5H","SUPT5H",7105332,69155717,95915769,6797133,7859454,4346783,31863364.6666667
"PLIN","PLIN",0.15,0.24,0.17,0.28,0.09,0.11,0.173333333333333
"B3GNT3","B3GNT3",13005985,7809703,8049753,14926795,9334405,1952160,9179800.16666667
"FLJ14082","FLJ14082",0.88,0.05,0.06,0.07,0.07,0.11,0.206666666666667
"CMPK1","CMPK1",1249033,4360304,0.56,3674751,15532111,5744971,5093528.42666667
"LGALS14","LGALS14",5999948,6291610,3535628,3686835,7179320,0.24,4448890.20666667
"RAB27B","RAB27B",0.07,0.76,0.47,0.25,0.43,0.17,0.358333333333333
"BMP8A","BMP8A",4352201,29540724,2081597,6182360,40821512,47425330,21733954
"RBM4B","RBM4B",5724073,11833776,17994727,91615619,166354523,128740634,70377225.3333333
"ZNF329","ZNF329",0.03,0.04,0.05,30759445,0.09,0.11,5126574.22
"UNQ6493","UNQ6493",30331914,18900668,121073831,50080720,31934799,0.8,42053655.4666667
"PIK3C3","PIK3C3",0.26,0.83,0.14,0.27,2529727,5003839,1255594.58333333
"FAM57A","FAM57A",1623164,12382553,0.25,0.3,0.35,0.23,2334286.355
"LOC100129292","LOC100129292",424098352,684496556,598783837,1369496688,1489383707,764947754,888534482.333333
"UPP2","UPP2",0.2,0.4,0.29,0.35,0.21,0.34,0.298333333333333
"PASK","PASK",5289949,12846784,45006897,33562381,0.21,10570261,17879378.7016667
"ACER1","ACER1",5217394,6952489,52436513,10041441,7571811,3380840,14266748
"FGF14","FGF14",0.1,0.17,0.06,0.11,0.44,0.82,0.283333333333333
"LOC100129014","LOC100129014",0.43,0.4,0.55,0.23,1485265,0.26,247544.478333333
"SKIL","SKIL",3340997,2225698,1733827,3509863,17455165,7508190,5962290
"POMC","POMC",5612678,8300143,8801568,5869528,6518042,1068766,6028454.16666667
"CLCA1","CLCA1",2133479,0.22,0.18,0.29,0.42,0.11,355580.036666667
"KRTAP8-1","KRTAP8-1",7448149,13012772,37316153,13817816,30475847,1360894,17238605.1666667
"SLITRK6","SLITRK6",0.13,0.07,0.32,0.15,0.17,0.28,0.186666666666667
"TTTY1","TTTY1",0.43,0.7,0.8,1569849,1689938,0.65,543298.263333333
"FAM62A","FAM62A",0.35,11916442,5745836,3862669,101056366,31767013,25724721.0583333
"PRO2949","PRO2949",0.03,0.04,0.05,0.08,0.08,0.11,0.065
"POLD2","POLD2",0.99,4086783,127213813,45680046,475346541,0.98,108721197.495
"LOC642864","LOC642864",0.16,0.07,0.05,0.08,0.38,0.18,0.153333333333333
"TMEM183B","TMEM183B",31282058,8818113,42232056,12609012,13552778,51243405,26622903.6666667
"LOC440888","LOC440888",1736491,0.04,0.05,0.08,6976509,0.11,1452166.71333333
"PCGF2","PCGF2",0.54,0.27,0.25,0.29,0.09,0.3,0.29
"LOC390424","LOC390424",99681195,117333560,159035001,316244351,431704464,257378993,230229594
"REM2","REM2",1693347,1189862,1166305,4696335,17461469,1202893,4568368.5
"CDH8","CDH8",0.45,0.25,0.31,0.31,0.49,0.25,0.343333333333333
"C11orf47","C11orf47",0.11,0.21,2185610,0.19,0.76,0.13,364268.566666667
"SNPH","SNPH",2732401,5463034,5963325,1349471,2778746,2640218,3487865.83333333
"LOC54492","LOC54492",0.24,0.39,0.26,0.21,0.59,0.35,0.34
"DPY19L2P4","DPY19L2P4",0.03,0.04,0.06,0.07,0.07,0.22,0.0816666666666667
"UGT1A8","UGT1A8",0.78,1005593,8309223,2668906,0.77,0.11,1997287.27666667
"CSK","CSK",3442658,16742374,5965768,217196818,31381738,17576655,48717668.5
"ZNF417","ZNF417",2039857,8008006,13578475,6056490,10334910,20860433,10146361.8333333
"ADH7","ADH7",0.03,0.04,0.06,0.07,0.07,0.11,0.0633333333333333
"C11orf61","C11orf61",0.1,0.07,0.09,0.07,0.07,14261300,2376883.4
"COG6","COG6",0.28,1017195,3750402,29376634,0.34,0.11,5690705.28833333
"SLC39A2","SLC39A2",2964021,0.52,0.38,0.34,1388017,0.15,725339.898333333
"GNRH2","GNRH2",7108486,17106363,20882953,14966696,32510119,2774499,15891519.3333333
"SEMA4G","SEMA4G",0.18,0.32,0.2,0.14,0.46,0.27,0.261666666666667
"GRIK5","GRIK5",4324821,50156746,4450244,10003980,8305743,2024962,13211082.6666667
"C2orf58","C2orf58",0.04,0.11,0.11,0.09,0.56,0.13,0.173333333333333
"DNMT3L","DNMT3L",0.03,0.06,0.05,0.08,0.1,0.12,0.0733333333333333
"SFRS2","SFRS2",10893704,104026836,147535213,388313304,467987199,385412657,250694818.833333
"CARHSP1","CARHSP1",18001186,45474585,79439176,51562624,199201297,20061561,68956738.1666667
"MAPKAPK5","MAPKAPK5",0.16,0.11,0.06,0.12,0.07,99438814,16573135.7533333
"C15orf34","C15orf34",1000414,1289929,0.74,0.53,0.69,0.14,381724.183333333
"AIM1","AIM1",4242402,0.45,10126461,0.59,0.29,1669799,2673110.555
"MYBPC2","MYBPC2",25929082,11120120,37243097,15706187,14392910,3873634,18044171.6666667
"AMH","AMH",3232515,4638114,3925461,6264563,8502496,0.72,4427191.62
"LOC646949","LOC646949",306375900,563523121,671005006,1260252519,1256527783,1026650971,847389216.666667
"CLDND1","CLDND1",25670778,85502378,95998474,179635906,164606619,80360242,105295732.833333
"TRIM56","TRIM56",3623916,5158203,12372973,8012938,6206858,5436824,6801952
"CD151","CD151",5187418,6002063,10179392,4316612,3016080,0.76,4783594.29333333
"OCIAD1","OCIAD1",10571244,32792028,31687703,206850769,51297686,92860430,71009976.6666667
"FANCL","FANCL",1698982,26507300,1194932,0.08,0.07,4644566,5674296.69166667
"OAT","OAT",1202028,9159250,23516493,0.26,29149359,17389013,13402690.5433333
"PNLIPRP2","PNLIPRP2",0.91,0.45,0.76,0.64,0.92,0.11,0.631666666666667
"GGNBP1","GGNBP1",1826990,1931375,1091798,1913389,2449637,0.63,1535531.605
"C6orf224","C6orf224",0.36,0.09,0.05,0.08,0.08,0.11,0.128333333333333
"WDR77","WDR77",1369911,6236380,0.77,225293071,0.39,5836258,39789270.1933333
"SPEG","SPEG",4280363,2378541,2903806,2126706,2361176,0.38,2341765.39666667
"KRTAP2-1","KRTAP2-1",12191582,13208699,19784197,18372209,7478467,5663194,12783058
"ZNF747","ZNF747",0.6,0.16,0.3,1454867,0.15,0.11,242478.053333333
"NRGN","NRGN",3366627,2658628,1779338,4195392,0.75,0.34,1999997.68166667
"SNAP91","SNAP91",1900550,1793269,1535520,2362256,2718638,0.98,1718372.33
"LOC100128328","LOC100128328",0.23,0.16,0.14,0.31,0.14,2338412,389735.496666667
"MADD","MADD",6676970,35111444,56984962,216055688,22741821,1467618,56506417.1666667
"C2orf80","C2orf80",0.03,0.52,0.08,0.08,0.1,0.13,0.156666666666667
"PRKD1","PRKD1",0.94,0.79,1403243,3008087,2875930,0.11,1214543.64
"FAM27A","FAM27A",10218379,9110931,19465533,16266239,7456742,2098624,10769408
"CXorf58","CXorf58",0.19,0.06,0.13,0.07,0.07,0.11,0.105
"SPINK4","SPINK4",0.19,0.32,0.51,0.28,0.39,4682284,780380.948333333
"LYG1","LYG1",0.5,0.55,0.39,1407785,0.89,0.32,234631.275
"PTCH2","PTCH2",5440491,4504980,6485519,4405610,6740918,1661265,4873130.5
"PKHD1L1","PKHD1L1",0.14,0.12,0.06,0.15,0.17,9076664,1512777.44
"SH2D4B","SH2D4B",0.25,0.1,0.08,0.08,0.19,0.11,0.135
