"","GENE_SYMBOL","GSM1443061","GSM1443062","GSM1443063","GSM1443064","GSM1443065","GSM1443066","Tetanis_Means"
"TWSG1","TWSG1",0.03,0.04,0.06,0.08,0.11,0.11,0.0716666666666667
"ZNF74","ZNF74",2118404,0.56,1872009,0.33,1419886,0.71,901716.766666667
"FAM110B","FAM110B",0.13,4745691,0.07,0.29,0.08,0.19,790948.626666667
"PGPEP1","PGPEP1",0.36,2749474,0.88,0.47,0.47,0.11,458246.048333333
"LAMA1","LAMA1",0.03,0.04,0.06,0.08,0.08,0.11,0.0666666666666667
"ZNF487","ZNF487",1158816,0.04,0.49,0.19,0.09,0.11,193136.153333333
"CYorf15B","CYorf15B",0.03,0.04,0.06,0.08,0.09,0.11,0.0683333333333333
"CASKIN2","CASKIN2",0.08,0.04,0.05,0.09,0.09,0.1,0.075
"DENND4B","DENND4B",44007119,25618553,147666349,37002726,29493185,4483979,48045318.5
"NECAP2","NECAP2",2923936,0.57,53011481,107112613,40716447,23709311,37912298.095
"ZBTB11","ZBTB11",0.86,0.04,0.05,0.09,0.09,0.23,0.226666666666667
"KIAA1751","KIAA1751",0.15,0.26,0.19,0.58,0.4,0.23,0.301666666666667
"NCOA3","NCOA3",29101019,46819135,14629070,31457050,68884520,72848077,43956478.5
"KRT75","KRT75",0.38,0.36,0.36,0.43,1237119,0.19,206186.786666667
"DHRSX","DHRSX",0.07,0.04,0.09,0.17,0.11,2046028,341004.746666667
"RUVBL1","RUVBL1",12637793,25965291,4233248,3405881,5075600,1105698,8737251.83333333
"C22orf36","C22orf36",0.23,1229439,0.12,0.79,47177671,0.17,8067851.885
"RP4-621O15.2","RP4-621O15.2",5033303,6439230,6410782,8683332,10302133,2991840,6643436.66666667
"CATSPERB","CATSPERB",0.03,0.04,0.05,0.09,0.09,0.1,0.0666666666666667
"AFF1","AFF1",0.03,10589373,0.05,0.09,0.09,0.25,1764895.585
"ZNF697","ZNF697",3586418,8210690,9050802,4689876,8494681,0.75,5672077.95833333
"TNFSF10","TNFSF10",0.16,29099670,0.21,0.51,0.1,11746298,6807661.49666667
"ZNF506","ZNF506",61528893,25710493,61361701,67190257,107282065,52523364,62599462.1666667
"YY1AP1","YY1AP1",2030916,78849978,19095100,0.09,0.08,7361595,17889598.195
"JAK2","JAK2",0.39,0.33,0.26,0.55,28281394,1479050,4960074.255
"MUC5AC","MUC5AC",71536175,41282164,63728974,41975432,57200997,6418049,47023631.8333333
"PPP4R4","PPP4R4",0.03,0.04,0.05,0.09,0.08,0.1,0.065
"DNAJC3","DNAJC3",12139840,55992674,84848817,269468194,32284057,44115026,83141434.6666667
"C20orf30","C20orf30",0.47,2780954,3348022,0.08,2205352,5447950,2297046.425
"FAM65A","FAM65A",1873336,47100136,4948213,89820515,1293964,0.85,24172694.1416667
"TLE4","TLE4",2097328,0.86,28388345,0.14,0.08,12595088,7180127.01333333
"ADAM21","ADAM21",0.23,0.15,0.19,0.34,0.36,0.13,0.233333333333333
"PLAC8","PLAC8",8480939,40934144,26624930,300595324,61492418,94558388,88781023.8333333
"OLFM1","OLFM1",0.11,0.11,0.19,0.34,0.08,0.1,0.155
"CREBBP","CREBBP",5580384,9763013,39515496,8098936,0.17,40589101,17257821.695
