"","Females_AD1_Mean","Females_control1_Mean","males_AD1_Mean","males_control1_Mean","FC_fem_ctrl_AD","FC_male_ctrl_AD"
"ABLIM1",9.58823334532413,9.33748810060733,9.46138899332461,9.24172346202875,1.02685360795271,1.02376889247968
"ABLIM2",9.76491303362766,10.3551040771296,9.82462107785802,10.3661524580979,0.943004817807149,0.947759655047631
"ABO",6.4572771284321,6.4433458459851,6.46074231416265,6.43782751685343,1.00216211930571,1.00355939907511
"ABP1",6.56558685646994,6.72623915732774,6.58916594374484,6.69013961902179,0.976115583002609,0.984907089982119
"ABR",10.5782810696642,10.5388375284219,10.4852080515251,10.5097358082772,1.00374268425108,0.997666187124057
"ABRA",6.45370081510333,6.47349277047444,6.46373329982504,6.46234323805448,0.996942615667791,1.00021510181669
"ABT1",6.82413044583456,6.83285668676237,6.86952808289937,6.87744100589821,0.998722900050762,0.998849437895278
"ABTB1",8.43959946102371,8.22645834306458,8.31633812987119,8.27269554852684,1.02590921986967,1.00527549709624
"ABTB2",6.95351800831222,6.87185780311964,6.89948509510851,6.8670213944016,1.01188327924299,1.00472747918528
"ACAA1",8.46684106160263,8.40796012994265,8.54777274792044,8.39086959926918,1.00700299843838,1.0186992714873
"ACAA2",8.46573426661874,8.34345787870548,8.33829253179311,8.24315905893039,1.0146553610854,1.01154089981554
"ACACA",9.53242235252279,9.50191611862149,9.49558730471921,9.51114093321283,1.00321053496163,0.998364693720466
"ACACB",9.78232190050445,8.96212312519563,9.51724724790508,8.77363210260227,1.09151835606933,1.08475567890318
"ACAD8",7.96893562227376,8.18538400596827,8.06822518957019,8.13091067809743,0.97355672213586,0.992290471386423
"ACAD9",8.2398092192519,8.3467105191053,8.23111079793637,8.38535180968361,0.987192403569202,0.981605898565983
"ACADL",6.73640583829955,6.75460882683912,6.72279981178561,6.69826734547837,0.997305101004925,1.00366250927918
"ACADM",9.73509437742425,9.78026644803955,9.77621148800496,9.78167750365085,0.995381304706238,0.999441198542494
"ACADS",6.81258868564849,6.92249642415277,6.80771952194404,6.82489818561795,0.984123106496551,0.997482942132365
"ACADSB",6.68797535186427,6.77093686116834,6.71734305584756,6.76993311555658,0.987747410586583,0.992231819899641
"ACADVL",10.6344063411206,10.3205043418917,10.5784139646242,10.1594026407441,1.03041537398078,1.04124369696695
"ACAP1",6.60200902151819,6.54920727013866,6.61143512130319,6.56811838362539,1.0080623118496,1.00659499953378
"ACAP2",7.23725843632412,7.43708466618583,7.37183530545622,7.32646700117825,0.973131107304687,1.00619238498866
"ACAP3",6.46805715389527,6.53828633151107,6.46228889049125,6.49632698886358,0.989258779127287,0.994760408700073
"ACAT1",9.37576836944109,9.48088754872007,9.46212704530081,9.51893754284546,0.988912517025564,0.994031844700215
"ACAT2",7.60280880019641,7.91527484989584,7.82631808595763,8.0163482345314,0.960523663975669,0.976294673957004
"ACBD4",6.9093132698264,7.04422982514501,6.87295744185858,6.9430346820598,0.980847224087294,0.989906828438824
"ACBD5",6.84381365380275,6.79300172459232,6.8877907285866,6.80831706340126,1.00748004067576,1.01167302645356
"ACBD6",7.10664363683372,7.18908912003646,7.1616407541592,7.25158558748207,0.988531859624196,0.987596528753914
"ACBD7",9.95829479737596,9.43749307714222,9.56538006201718,9.45388804696405,1.05518432871703,1.01179324469459
"ACCN1",8.4618667576836,8.98502358348008,8.59674300105276,9.01968451992092,0.94177457399685,0.953109056316321
"ACCN2",8.6596919935573,8.39073432111324,8.46042375249531,8.46080311833428,1.03205412805972,0.999955161958781
"ACCN3",6.74986829849725,6.96534672332652,6.79533556551811,6.96180233702277,0.969064221296028,0.976088552440021
"ACCN4",6.64779923678705,6.65000743574059,6.63335903863793,6.61521462363697,0.999667940378282,1.00274283088808
